"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","33.617695","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","68.437256","0","0"
"Globals","0","2854","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","9.287242","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","4.468830","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","16.815334","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","5.851223","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","5.520062","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.167858","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.138092","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","5.965756","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","8.482459","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","66.927956","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","86.335381","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","592","644","1","473.912170","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","99.791122","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","177.116623","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.870873","0","0"
"/Substance/Templates/parent_materials/Substance_Basic_Template.Substance_Basic_Template","0","21","21","1","39.563751","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","13.011562","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","8.522981","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","23.675552","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","6.529544","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.356659","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","15.272186","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","18.674694","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","91.830299","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","183.132767","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","18","18","1","6.680025","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","23","23","1","9.227556","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","133","133","1","106.620369","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1061","1087","1","690.494080","294","7500"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","47.477219","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","67.804504","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","140","152","2","76.606598","0","0"
"/Game/Assets/Master_Materials/MM_Foliage.MM_Foliage","0","420","438","5","296.722717","0","192"
"/Game/Assets/Master_Materials/MM_Hard_surface_Packed.MM_Hard_surface_packed","0","42","42","1","84.583672","42","42"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","242","262","2","833.933105","0","0"
"/Game/Assets/Master_Materials/MM_Masked.MM_Masked","0","105","105","5","119.958229","0","0"
"/Game/Assets/Landscape_Materials/Master_Materials/MM_Landscape.MM_Landscape","0","693","693","10","402.478027","0","0"
"/Game/Assets/Master_Materials/MM_Foliage_With_Tesselation_Test.MM_Foliage_With_Tesselation_Test","0","154","154","1","98.120277","0","0"
"/Game/StarterContent/LD_Materials/M_Grid.M_Grid","0","21","21","1","18.936237","0","0"
"/Engine/VREditor/UI/KeyDiskMaterial.KeyDiskMaterial","0","8","8","1","5.047194","0","0"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","0","12","12","1","6.591553","0","0"
"/Game/AnimalVarietyPack/DeerStagAndDoe/Materials/M_DeerStagFur.M_DeerStagFur","0","64","68","1","38.176651","0","0"
"/Game/AnimalVarietyPack/DeerStagAndDoe/Materials/M_DeerStag.M_DeerStag","0","24","24","1","17.790237","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","7.177755","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","4.448047","0","0"
"/Game/Assets/New_LandscapeMaterial/MM_Moss_WIP.MM_Moss_WIP","0","12","12","1","27.226063","28","28"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFur.M_WolfFur","0","64","68","1","36.733368","0","0"
"/Game/AnimalVarietyPack/Wolf/Materials/M_Wolf.M_Wolf","0","24","24","1","17.521742","0","0"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFurDark.M_WolfFurDark","0","64","68","1","37.551384","0","0"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFurArctic.M_WolfFurArctic","0","64","68","1","37.035599","0","0"
